LECROYWR104MXi-A€¿;49371;Waveform
Segments;1;SegmentSize;502
Segment;TrigTime;TimeSinceSegment1
#1;01-Jan-2002 00:47:56;0                 
Time;Ampl
3.69782e-009;-0.0384071
3.79782e-009;-0.0480068
3.89782e-009;-0.0384071
3.99782e-009;-0.0384071
4.09782e-009;-0.041607
4.19782e-009;-0.041607
4.29782e-009;-0.0448069
4.39782e-009;-0.0448069
4.49782e-009;-0.0544065
4.59782e-009;-0.0544065
4.69782e-009;-0.0576064
4.79782e-009;-0.0512066
4.89782e-009;-0.0576064
4.99782e-009;-0.0352072
5.09782e-009;-0.0256076
5.19782e-009;-0.0256076
5.29782e-009;-0.0224077
5.39782e-009;-0.0224077
5.49782e-009;-0.016008
5.59782e-009;-0.00640836
5.69782e-009;-0.00320848
5.79782e-009;-0.0128081
5.89782e-009;-0.016008
5.99782e-009;-0.016008
6.09782e-009;-0.00960823
6.19782e-009;-0.00640836
6.29782e-009;-0.00640836
6.39782e-009;-0.0128081
6.49782e-009;-0.0192079
6.59782e-009;-0.0224077
6.69782e-009;-0.0352072
6.79782e-009;-0.0352072
6.89782e-009;-0.0352072
6.99782e-009;-0.0256076
7.09782e-009;-0.0256076
7.19782e-009;-0.016008
7.29782e-009;-0.00960823
7.39782e-009;-0.00320848
7.49782e-009;0.0127909
7.59782e-009;0.0127909
7.69782e-009;0.0223905
7.79782e-009;0.0287903
7.89782e-009;0.0319902
7.99782e-009;0.0319902
8.09782e-009;0.0223905
8.19782e-009;0.0191907
8.29782e-009;0.0159908
8.39782e-009;0.0159908
8.49782e-009;0.0191907
8.59782e-009;0.0191907
8.69782e-009;0.0223905
8.79782e-009;0.0223905
8.89782e-009;0.0319902
8.99782e-009;0.0287903
9.09782e-009;0.0255904
9.19782e-009;0.0159908
9.29782e-009;0.0127909
9.39782e-009;0.00959103
9.49782e-009;0.00319128
9.59782e-009;0.00319128
9.69782e-009;0.00959103
9.79782e-009;0.0159908
9.89782e-009;0.0191907
9.99782e-009;0.0127909
1.00978e-008;0.0159908
1.01978e-008;0.0159908
1.02978e-008;0.0191907
1.03978e-008;0.0127909
1.04978e-008;0.0223905
1.05978e-008;0.0191907
1.06978e-008;0.0191907
1.07978e-008;0.0255904
1.08978e-008;0.0287903
1.09978e-008;0.0223905
1.10978e-008;0.0223905
1.11978e-008;0.0191907
1.12978e-008;0.0255904
1.13978e-008;0.0223905
1.14978e-008;0.0255904
1.15978e-008;0.0287903
1.16978e-008;0.0383899
1.17978e-008;0.0479896
1.18978e-008;0.0479896
1.19978e-008;0.0479896
1.20978e-008;0.0383899
