S142C	2022-10-04 19:42:55
value unit [W]	time unit [ms]
wavelength	405.000nm
range	AUTO
-6.952394E-08	183967
-7.041830E-09	184267
-6.169553E-09	184567
1.132178E-08	184867
-2.634654E-09	185167
-2.473965E-08	185467
6.411722E-08	185767
-1.374460E-08	186067
-8.017503E-08	186367
-9.339693E-08	186667
1.274501E-08	186967
9.645978E-09	187267
-9.135380E-08	187567
7.419683E-09	187867
-4.677606E-08	188167
-2.037533E-09	188467
2.789516E-08	188767
-3.488565E-08	189067
4.275007E-09	189367
2.736923E-09	189667
-2.460205E-08	189967
-3.249799E-08	190270
-4.170307E-08	190570
-2.021759E-08	190870
9.646240E-09	191170
-1.785321E-08	191470
1.976908E-08	191770
-1.243591E-08	192070
-9.725299E-08	192370
3.494231E-09	192670
1.426676E-07	192970
-3.419679E-08	193270
6.363533E-08	193570
-2.111282E-08	193870
-4.546783E-08	194170
-4.005007E-08	194470
-3.197026E-08	194770
-7.753428E-10	195070
7.300057E-08	195370
9.131847E-08	195670
1.958546E-08	195970
-1.734836E-08	196270
-1.477729E-08	196570
-1.567271E-08	196870
5.408627E-08	197170
9.512858E-08	197473
-2.384431E-08	197772
-7.755803E-08	198072
9.937518E-08	198373
-1.267266E-07	198672
-1.762164E-09	198973
-5.524606E-08	199273
-6.337206E-08	199573
8.911337E-09	199873
9.870965E-08	200173
8.842895E-09	200473
-1.874855E-08	200772
3.808669E-08	201073
5.193059E-09	201373
1.280914E-07	201673
6.877726E-08	201973
-1.186224E-08	202273
3.925787E-08	202573
1.081698E-08	202873
1.026348E-07	203173
-1.372170E-08	203473
-3.805163E-09	203773
7.442464E-09	204073
1.455859E-08	204373
-7.099307E-08	204675
-6.470365E-08	204975
4.802802E-09	205275
7.908339E-08	205575
7.871643E-08	205875
-5.233093E-08	206175
1.078915E-07	206475
1.825404E-08	206775
-6.422135E-08	207089
8.555674E-08	207389
1.348860E-07	207689
1.056878E-07	207989
3.785724E-08	208289
1.374107E-07	208589
1.678502E-08	208889
-5.331790E-08	209189
-1.927666E-07	209488
-9.089470E-08	209788
-1.514465E-08	210089
4.451415E-08	210389
-6.773357E-08	210688
-1.438505E-07	210989
1.836415E-07	211289
4.345818E-08	211589
-7.119961E-08	211891
-2.985867E-08	212191
-2.951429E-08	212491
4.228751E-08	212791
-6.307379E-08	213091
2.883616E-08	213391
-3.846665E-08	213691
-6.796328E-08	213991
-4.312615E-08	214291
1.213198E-07	214591
-5.506283E-08	214891
9.462387E-09	215191
-2.395932E-08	215491
1.719348E-07	215791
1.063537E-07	216091
6.524232E-08	216391
-1.109798E-07	216691
-7.574453E-08	216991
1.795571E-08	217291
-6.635609E-08	217591
-2.428057E-08	217891
7.933607E-08	218191
2.095113E-07	218491
-5.097668E-08	218791
-1.780760E-07	219094
-8.992953E-09	219394
6.971810E-08	219694
4.665035E-09	219994
-3.851053E-09	220294
4.474355E-08	220594
3.916580E-08	220894
-6.252256E-08	221194
4.137093E-09	221494
1.520561E-07	221794
-1.271628E-07	222094
4.088718E-08	222394
3.117727E-08	222694
1.896784E-07	222994
9.618446E-08	223294
-1.113931E-07	223594
1.262093E-07	223894
1.639695E-07	224194
-2.683331E-07	224494
-3.229415E-07	224794
-2.122755E-08	225094
-6.314277E-08	225394
1.347709E-07	225694
3.696184E-08	225997
1.094984E-07	226297
-1.026014E-07	226596
1.602753E-08	226897
-2.597939E-08	227196
-3.224584E-08	227496
3.909675E-08	227797
1.173488E-08	228097
5.858518E-08	228397
-5.288182E-08	228697
-1.375380E-07	228997
-2.028655E-08	229297
7.075085E-09	229597
1.456973E-07	229897
9.666665E-08	230197
1.280914E-07	230497
-2.588751E-08	230796
-1.032901E-07	231096
-3.571215E-08	231397
4.024430E-08	231697
1.586685E-08	231997
-7.064862E-08	232297
8.833428E-08	232597
-7.025844E-08	232896
-7.331157E-08	233199
4.639613E-08	233499
-1.067562E-07	233799
-3.192430E-08	234099
-3.539066E-08	234399
2.442906E-08	234699
3.769993E-09	234999
-4.808430E-08	235299
-3.607922E-08	235599
1.267608E-08	235913
-1.897827E-08	236213
4.818672E-08	236513
3.751273E-08	236813
-1.126566E-08	237113
2.697680E-08	237413
-8.350140E-09	237713
2.410751E-08	238013
1.194147E-08	238313
-2.793017E-08	238613
-7.076356E-08	238913
6.639152E-09	239213
1.781806E-08	239513
1.634877E-08	239813
-4.126603E-09	240113
3.769674E-08	240415
8.509755E-08	240715
-5.761050E-08	241015
2.562216E-08	241315
6.749131E-08	241615
-7.179450E-09	241915
-3.520704E-08	242215
-1.475693E-07	242515
2.596682E-08	242815
1.836414E-07	243115
5.851636E-08	243415
5.833264E-08	243715
-5.825267E-09	244015
2.509446E-08	244315
-1.697664E-07	244615
3.732928E-08	244915
5.681787E-08	245215
-4.473326E-08	245515
7.029212E-08	245815
2.275324E-08	246115
-1.395015E-09	246415
4.426156E-08	246715
1.171200E-08	247015
1.361727E-08	247315
-3.839765E-08	247618
3.074116E-08	247918
1.444359E-08	248218
-1.831253E-08	248517
1.289866E-07	248818
5.672600E-08	249118
-6.268318E-08	249417
2.672439E-08	249718
-5.694486E-08	250018
2.185787E-08	250318
3.955615E-08	250618
9.352198E-08	250918
-2.818315E-08	251217
1.545351E-08	251518
4.095612E-08	251818
5.803422E-08	252118
-1.069856E-07	252417
3.884586E-09	252718
-2.735640E-08	253017
-2.866479E-08	253318
-3.382964E-08	253617
-1.305589E-08	253917
7.084314E-08	254218
9.444015E-08	254518
2.113704E-07	254820
3.186825E-07	255120
1.013333E-06	255420
2.396869E-06	255720
3.095653E-06	256020
-1.267958E-07	256320
2.217920E-07	256620
7.855552E-08	256920
-7.781077E-08	257220
-1.289074E-07	257520
1.546728E-07	257820
2.640273E-08	258120
-1.390648E-06	258420
-1.734047E-06	258720
-6.418255E-07	259020
1.669535E-07	259320
-1.911600E-07	259620
-7.087841E-08	259920
1.671141E-07	260220
5.259422E-08	260520
-1.680219E-07	260820
-2.040833E-07	261120
2.038641E-07	261420
-2.131504E-07	261720
-1.689629E-07	262023
-1.218145E-07	262323
-1.510354E-07	262623
-4.301137E-08	262923
4.045121E-08	263223
9.600122E-09	263523
-9.768906E-08	263823
-5.676140E-08	264123
2.791771E-08	264423
-6.718254E-08	264737
-6.153575E-08	265037
7.318425E-08	265337
6.845704E-09	265637
-4.296559E-08	265937
-6.881238E-08	266237
-7.400014E-08	266537
-4.225404E-08	266837
1.601131E-07	267137
-9.127986E-10	267437
-7.937020E-09	267737
-2.923875E-08	268037
3.395513E-08	268337
-7.216362E-08	268637
-3.281957E-08	268940
-3.474757E-08	269239
3.771941E-08	269540
1.549987E-08	269840
1.866705E-08	270140
-5.575125E-08	270439
-3.486282E-08	270739
-8.198843E-08	271039
-9.716133E-08	271339
2.032009E-08	271640
-1.064589E-08	271940
2.229412E-08	272240
6.792772E-08	272540
4.363707E-07	272840
3.108786E-07	273140
